Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T025G_S190_L002_R1_001	T025G_S190_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2590219.0	261.6 Mbp	0.0	101.0	35.0	83.07589283299318	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026F_S179_L001_R1_001	T026F_S179_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3475505.0	351 Mbp	0.0	101.0	31.0	75.06049213321896	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026F_S179_L002_R1_001	T026F_S179_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3499953.0	353.4 Mbp	0.0	101.0	31.0	75.58724445115698	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026G_S191_L001_R1_001	T026G_S191_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3132289.0	316.3 Mbp	0.0	101.0	33.0	83.85296005525944	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T026G_S191_L002_R1_001	T026G_S191_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3136763.0	316.8 Mbp	0.0	101.0	33.0	84.168800818701	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027F_S180_L001_R1_001	T027F_S180_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3624906.0	366.1 Mbp	0.0	101.0	30.0	76.45480769348613	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027F_S180_L002_R1_001	T027F_S180_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3644832.0	368.1 Mbp	0.0	101.0	30.0	77.05054841487167	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027G_S192_L001_R1_001	T027G_S192_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2200362.0	222.2 Mbp	0.0	101.0	34.0	86.36851305346252	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T027G_S192_L002_R1_001	T027G_S192_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2200281.0	222.2 Mbp	0.0	101.0	34.0	86.63898208793879	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029F_S195_L001_R1_001	T029F_S195_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2844470.0	287.2 Mbp	0.0	101.0	36.0	79.31893790835154	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029F_S195_L002_R1_001	T029F_S195_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2848790.0	287.7 Mbp	0.0	101.0	36.0	79.74696219751667	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029G_S207_L001_R1_001	T029G_S207_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2719136.0	274.6 Mbp	0.0	101.0	34.0	86.61796419353067	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029G_S207_L002_R1_001	T029G_S207_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2740726.0	276.8 Mbp	0.0	101.0	34.0	86.6522432443006	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030F_S196_L001_R1_001	T030F_S196_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3281144.0	331.3 Mbp	0.0	101.0	32.0	78.0821051298748	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030F_S196_L002_R1_001	T030F_S196_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3297256.0	333 Mbp	0.0	101.0	32.0	78.57389630075276	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030G_S208_L001_R1_001	T030G_S208_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2809175.0	283.7 Mbp	0.0	101.0	35.0	85.67389185977437	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T131G_S141_L001_R1_001	T131G_S141_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3350716.0	338.4 Mbp	0.0	101.0	34.0	85.70220308437226	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T131G_S141_L002_R1_001	T131G_S141_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3370220.0	340.3 Mbp	0.0	101.0	34.0	85.92857418952629	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132F_S130_L001_R1_001	T132F_S130_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3113068.0	314.4 Mbp	0.0	101.0	32.0	76.62181492540755	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132F_S130_L002_R1_001	T132F_S130_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3121221.0	315.2 Mbp	0.0	101.0	32.0	76.82468646903479	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132G_S142_L001_R1_001	T132G_S142_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2138248.0	215.9 Mbp	0.0	101.0	35.0	86.02366359744092	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132G_S142_L002_R1_001	T132G_S142_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2141989.0	216.3 Mbp	0.0	101.0	35.0	86.45781927471367	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133F_S131_L001_R1_001	T133F_S131_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2549618.0	257.5 Mbp	0.0	101.0	33.0	81.36713124430015	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133F_S131_L002_R1_001	T133F_S131_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2561315.0	258.6 Mbp	0.0	101.0	33.0	81.56467651558185	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133G_S143_L001_R1_001	T133G_S143_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3342699.0	337.6 Mbp	0.0	101.0	36.0	84.08007850723405	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133G_S143_L002_R1_001	T133G_S143_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3348611.0	338.2 Mbp	0.0	101.0	36.0	84.43279995474259	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134F_S132_L001_R1_001	T134F_S132_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3558980.0	359.4 Mbp	0.0	101.0	33.0	76.52577148987376	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134F_S132_L002_R1_001	T134F_S132_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3574762.0	361 Mbp	0.0	101.0	33.0	76.96302888611518	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134G_S144_L001_R1_001	T134G_S144_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2948211.0	297.7 Mbp	0.0	101.0	35.0	86.11834360599764	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134G_S144_L002_R1_001	T134G_S144_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2951877.0	298.1 Mbp	0.0	101.0	35.0	86.34050279651039	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135F_S133_L001_R1_001	T135F_S133_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3778461.0	381.6 Mbp	0.0	101.0	32.0	78.06129888961836	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135F_S133_L002_R1_001	T135F_S133_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3808328.0	384.6 Mbp	0.0	101.0	32.0	78.35516370184263	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135G_S145_L001_R1_001	T135G_S145_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2488023.0	251.2 Mbp	0.0	101.0	35.0	84.9988142577072	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135G_S145_L002_R1_001	T135G_S145_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2495231.0	252 Mbp	0.0	101.0	35.0	85.17870915457956	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136F_S134_L001_R1_001	T136F_S134_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3452397.0	348.6 Mbp	0.0	101.0	32.0	79.09920243661945	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136F_S134_L002_R1_001	T136F_S134_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3474289.0	350.9 Mbp	0.0	101.0	32.0	79.58213918301321	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136G_S146_L001_R1_001	T136G_S146_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2462159.0	248.6 Mbp	0.0	101.0	35.0	84.35553487756579	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136G_S146_L002_R1_001	T136G_S146_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2473966.0	249.8 Mbp	0.0	101.0	35.0	84.6179827186851	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137F_S135_L001_R1_001	T137F_S135_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3447346.0	348.1 Mbp	0.0	101.0	32.0	76.49304382704524	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137F_S135_L002_R1_001	T137F_S135_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3470048.0	350.4 Mbp	0.0	101.0	32.0	76.69649568949856	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137G_S147_L001_R1_001	T137G_S147_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2841068.0	286.9 Mbp	0.0	101.0	34.0	87.8294605413521	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137G_S147_L002_R1_001	T137G_S147_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2855293.0	288.3 Mbp	0.0	101.0	34.0	88.10355025165191	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
