"gene"	"V11"	"V2.x"	"transcript"	"uniprot_accession"
"LOC134722894"	9.47e-32	"sp|Q09506|TX1B3_CAEEL"	"lcl|NC_086373.1_cds_XP_063442601.1_1875"	"Q09506"
"LOC134722902"	2.37e-67	"sp|Q7SZC5|NDC1_DANRE"	"lcl|NC_086373.1_cds_XP_063442608.1_1876"	"Q7SZC5"
"LOC134722928"	5.88e-149	"sp|Q8IVV2|LOXH1_HUMAN"	"lcl|NC_086373.1_cds_XP_063442635.1_1878"	"Q8IVV2"
"LOC134722918"	5.55e-23	"sp|Q2NL11|CH074_BOVIN"	"lcl|NC_086373.1_cds_XP_063442625.1_1879"	"Q2NL11"
"LOC134722939"	1.2e-165	"sp|Q7ZV55|EIF3I_DANRE"	"lcl|NC_086373.1_cds_XP_063442646.1_1880"	"Q7ZV55"
"LOC134722985"	4.18e-150	"sp|Q5XFW8|SEC13_RAT"	"lcl|NC_086373.1_cds_XP_063442690.1_1883"	"Q5XFW8"
"LOC134723011"	1.24e-74	"sp|Q91XA8|KLD8A_MOUSE"	"lcl|NC_086373.1_cds_XP_063442714.1_1886"	"Q91XA8"
"LOC134722998"	0	"sp|A8E657|AASS_BOVIN"	"lcl|NC_086373.1_cds_XP_063442701.1_1888"	"A8E657"
"LOC134723026"	1.01e-63	"sp|O08816|WASL_RAT"	"lcl|NC_086373.1_cds_XP_063442798.1_1890"	"O08816"
"LOC134723026"	3.19e-61	"sp|Q95107|WASL_BOVIN"	"lcl|NC_086373.1_cds_XP_063442737.1_1891"	"Q95107"
"LOC134723094"	7.11e-126	"sp|O60285|NUAK1_HUMAN"	"lcl|NC_086373.1_cds_XP_063442807.1_1901"	"O60285"
"LOC134714546"	1.06e-55	"tr|U5Y417|U5Y417_PERVI"	"lcl|NC_086373.1_cds_XP_063431996.1_1903"	"U5Y417"
"LOC134714680"	5.77e-45	"tr|U5Y417|U5Y417_PERVI"	"lcl|NC_086373.1_cds_XP_063432259.1_1906"	"U5Y417"
"LOC134723112"	5.54e-58	"tr|U5Y6Q1|U5Y6Q1_PERVI"	"lcl|NC_086373.1_cds_XP_063442826.1_1907"	"U5Y6Q1"
"LOC134714814"	6.47e-48	"tr|U5Y417|U5Y417_PERVI"	"lcl|NC_086373.1_cds_XP_063432512.1_1908"	"U5Y417"
"LOC134714877"	1.6e-52	"tr|A0A0G2YLH0|A0A0G2YLH0_MYTCO"	"lcl|NC_086373.1_cds_XP_063432648.1_1909"	"A0A0G2YLH0"
"LOC134707657"	0	"tr|A0A193DUA5|A0A193DUA5_MYTCO"	"lcl|NC_086373.1_cds_XP_063423694.1_1910"	"A0A193DUA5"
"LOC134707663"	0	"tr|A0A193DUA5|A0A193DUA5_MYTCO"	"lcl|NC_086373.1_cds_XP_063423705.1_1911"	"A0A193DUA5"
"LOC134714938"	0	"tr|A0A193DUA5|A0A193DUA5_MYTCO"	"lcl|NC_086373.1_cds_XP_063432773.1_1912"	"A0A193DUA5"
"LOC134707668"	6.03e-60	"sp|A0A0U1RGY0|SACA_NEIMA"	"lcl|NC_086373.1_cds_XP_063423720.1_1913"	"A0A0U1RGY0"
"LOC134707676"	3.08e-128	"tr|U5Y6Q1|U5Y6Q1_PERVI"	"lcl|NC_086373.1_cds_XP_063423743.1_1914"	"U5Y6Q1"
"LOC134723123"	2.45e-142	"sp|Q8K339|KIN17_MOUSE"	"lcl|NC_086373.1_cds_XP_063442837.1_1916"	"Q8K339"
"LOC134723134"	0	"sp|Q8IYQ7|THNS1_HUMAN"	"lcl|NC_086373.1_cds_XP_063442845.1_1917"	"Q8IYQ7"
"LOC134723153"	1.04e-77	"sp|Q9HC24|LFG4_HUMAN"	"lcl|NC_086373.1_cds_XP_063442863.1_1918"	"Q9HC24"
"LOC134723171"	2.03e-133	"sp|Q05B18|SHQ1_XENTR"	"lcl|NC_086373.1_cds_XP_063442877.1_1920"	"Q05B18"
"LOC134723190"	5.06e-151	"sp|Q26619|KAPR_STRPU"	"lcl|NC_086373.1_cds_XP_063442892.1_1922"	"Q26619"
"LOC134723224"	5.23e-26	"sp|P40682|VAS1_BOVIN"	"lcl|NC_086373.1_cds_XP_063442922.1_1926"	"P40682"
"LOC134723234"	1.62e-87	"sp|Q86FP7|RS23_DERVA"	"lcl|NC_086373.1_cds_XP_063442929.1_1927"	"Q86FP7"
"LOC134723245"	6.8e-110	"sp|Q14590|ZN235_HUMAN"	"lcl|NC_086373.1_cds_XP_063442941.1_1928"	"Q14590"
"LOC134723260"	6.15e-75	"sp|Q8BUH1|TXN4B_MOUSE"	"lcl|NC_086373.1_cds_XP_063442953.1_1930"	"Q8BUH1"
"LOC134723272"	0	"sp|Q86YQ8|CPNE8_HUMAN"	"lcl|NC_086373.1_cds_XP_063442964.1_1931"	"Q86YQ8"
"LOC134723288"	2.25e-103	"sp|Q8MIZ3|DCPS_PIG"	"lcl|NC_086373.1_cds_XP_063442981.1_1933"	"Q8MIZ3"
"LOC134714990"	2.67e-55	"sp|G5E8K5|ANK3_MOUSE"	"lcl|NC_086373.1_cds_XP_063432909.1_1934"	"G5E8K5"
"LOC134723299"	0	"sp|A0A0R4IXF6|KAT2A_DANRE"	"lcl|NC_086373.1_cds_XP_063442991.1_1937"	"A0A0R4IXF6"
"LOC134723308"	0	"sp|Q5XGY1|TSR1_XENLA"	"lcl|NC_086373.1_cds_XP_063443000.1_1938"	"Q5XGY1"
"LOC134723343"	9.88e-29	"sp|Q9D8N6|LIN37_MOUSE"	"lcl|NC_086373.1_cds_XP_063443035.1_1939"	"Q9D8N6"
"LOC134723320"	2.08e-167	"sp|Q9GKU5|HDA11_MACFA"	"lcl|NC_086373.1_cds_XP_063443013.1_1940"	"Q9GKU5"
"LOC134723377"	1.46e-106	"sp|Q8CFG5|CA2D3_RAT"	"lcl|NC_086373.1_cds_XP_063443066.1_1943"	"Q8CFG5"
"LOC134707696"	1.79e-62	"sp|P70245|EBP_MOUSE"	"lcl|NC_086373.1_cds_XP_063423762.1_1947"	"P70245"
"LOC134723402"	0	"sp|O43295|SRGP3_HUMAN"	"lcl|NC_086373.1_cds_XP_063443104.1_1948"	"O43295"
"LOC134723451"	4.28e-56	"sp|Q9SZJ2|GRDP2_ARATH"	"lcl|NC_086373.1_cds_XP_063443135.1_1955"	"Q9SZJ2"
"LOC134723474"	8.33e-23	"sp|A7RT29|LTOR5_NEMVE"	"lcl|NC_086373.1_cds_XP_063443150.1_1956"	"A7RT29"
"LOC134723464"	1.37e-83	"sp|F1MNN4|FBXW7_BOVIN"	"lcl|NC_086373.1_cds_XP_063443142.1_1957"	"F1MNN4"
"LOC134723488"	1.25e-78	"sp|Q5XIX3|DCR1C_RAT"	"lcl|NC_086373.1_cds_XP_063443158.1_1958"	"Q5XIX3"
"LOC134723498"	1.64e-104	"sp|Q4V8X0|TPRA1_DANRE"	"lcl|NC_086373.1_cds_XP_063443167.1_1959"	"Q4V8X0"
"LOC134723511"	2.02e-30	"sp|B5X5D0|PIRC1_SALSA"	"lcl|NC_086373.1_cds_XP_063443174.1_1960"	"B5X5D0"
"LOC134715249"	3.11e-27	"sp|Q99715|COCA1_HUMAN"	"lcl|NC_086373.1_cds_XP_063433420.1_1962"	"Q99715"
"LOC134723558"	2.13e-36	"sp|Q96RW7|HMCN1_HUMAN"	"lcl|NC_086373.1_cds_XP_063443211.1_1963"	"Q96RW7"
"LOC134715320"	2.77e-24	"sp|B3EWZ3|CADN_ACRMI"	"lcl|NC_086373.1_cds_XP_063433538.1_1964"	"B3EWZ3"
"LOC134723539"	1.82e-22	"sp|Q071E0|KT5AA_DANRE"	"lcl|NC_086373.1_cds_XP_063443198.1_1965"	"Q071E0"
"LOC134715393"	3.3e-43	"sp|Q9Y6R7|FCGBP_HUMAN"	"lcl|NC_086373.1_cds_XP_063433650.1_1968"	"Q9Y6R7"
"LOC134723522"	4.2e-68	"sp|Q9Y493|ZAN_HUMAN"	"lcl|NC_086373.1_cds_XP_063443183.1_1969"	"Q9Y493"
"LOC134715469"	5.6e-88	"sp|Q8WZ42|TITIN_HUMAN"	"lcl|NC_086373.1_cds_XP_063433761.1_1971"	"Q8WZ42"
"LOC134723634"	1.7e-120	"sp|Q09470|KCNA1_HUMAN"	"lcl|NC_086373.1_cds_XP_063443266.1_1972"	"Q09470"
"LOC134723645"	7.6e-123	"sp|Q09470|KCNA1_HUMAN"	"lcl|NC_086373.1_cds_XP_063443278.1_1973"	"Q09470"
"LOC134723655"	5.38e-175	"sp|Q8BX57|PXK_MOUSE"	"lcl|NC_086373.1_cds_XP_063443288.1_1974"	"Q8BX57"
"LOC134723721"	0	"sp|Q9BXW9|FACD2_HUMAN"	"lcl|NC_086373.1_cds_XP_063443344.1_1984"	"Q9BXW9"
"LOC134723827"	1.6e-87	"sp|O81635|KN14G_ARATH"	"lcl|NC_086373.1_cds_XP_063443446.1_1996"	"O81635"
"LOC134723868"	4.19e-29	"sp|Q3T0Q6|CNBP_BOVIN"	"lcl|NC_086373.1_cds_XP_063443482.1_2003"	"Q3T0Q6"
"LOC134723891"	1.39e-22	"sp|Q8BGI5|PEX26_MOUSE"	"lcl|NC_086373.1_cds_XP_063443488.1_2004"	"Q8BGI5"
"LOC134723907"	0	"sp|P23381|SYWC_HUMAN"	"lcl|NC_086373.1_cds_XP_063443489.1_2006"	"P23381"
"LOC134715604"	2.08e-71	"sp|Q95NN1|T23O_TRICA"	"lcl|NC_086373.1_cds_XP_063434001.1_2009"	"Q95NN1"
"LOC134707719"	5.72e-27	"sp|G5ECS8|ADT1_CAEEL"	"lcl|NC_086373.1_cds_XP_063423799.1_2011"	"G5ECS8"
"LOC134707749"	6.74e-21	"sp|P82198|BGH3_MOUSE"	"lcl|NC_086373.1_cds_XP_063423850.1_2017"	"P82198"
"LOC134715675"	0	"sp|Q2PZL6|FAT4_MOUSE"	"lcl|NC_086373.1_cds_XP_063434124.1_2018"	"Q2PZL6"
"LOC134723985"	6.25e-71	"sp|Q9W3W5|WIF1_DROME"	"lcl|NC_086373.1_cds_XP_063443495.1_2019"	"Q9W3W5"
"LOC134724011"	0	"sp|Q96QE2|MYCT_HUMAN"	"lcl|NC_086373.1_cds_XP_063443497.1_2021"	"Q96QE2"
"LOC134724027"	0	"sp|Q9QY44|ABCD2_RAT"	"lcl|NC_086373.1_cds_XP_063443498.1_2023"	"Q9QY44"
"LOC134724059"	2.31e-124	"sp|Q91X46|ARHG3_MOUSE"	"lcl|NC_086373.1_cds_XP_063443501.1_2024"	"Q91X46"
"LOC134724113"	0	"sp|O43592|XPOT_HUMAN"	"lcl|NC_086373.1_cds_XP_063443506.1_2031"	"O43592"
"LOC134724149"	1.11e-92	"sp|Q02543|RL18A_HUMAN"	"lcl|NC_086373.1_cds_XP_063443508.1_2034"	"Q02543"
"LOC134724165"	2.59e-89	"sp|Q9BXW7|HDHD5_HUMAN"	"lcl|NC_086373.1_cds_XP_063443509.1_2038"	"Q9BXW7"
"LOC134724181"	1.28e-113	"sp|Q08BW0|OTU5A_DANRE"	"lcl|NC_086373.1_cds_XP_063443510.1_2039"	"Q08BW0"
"LOC134724197"	4.18e-92	"sp|Q9NZB2|F120A_HUMAN"	"lcl|NC_086373.1_cds_XP_063443513.1_2040"	"Q9NZB2"
"LOC134724233"	0	"sp|Q86YQ8|CPNE8_HUMAN"	"lcl|NC_086373.1_cds_XP_063443514.1_2043"	"Q86YQ8"
"LOC134724260"	1.57e-71	"sp|Q5D013|EFMT2_DANRE"	"lcl|NC_086373.1_cds_XP_063443516.1_2045"	"Q5D013"
"LOC134724276"	1.16e-134	"sp|H9BW96|RAB7_EPICO"	"lcl|NC_086373.1_cds_XP_063443517.1_2046"	"H9BW96"
"LOC134724292"	3.8e-113	"sp|Q5BKT4|AG10A_HUMAN"	"lcl|NC_086373.1_cds_XP_063443518.1_2047"	"Q5BKT4"
"LOC134724308"	2.26e-141	"sp|A1L2G3|BAP1_DANRE"	"lcl|NC_086373.1_cds_XP_063443520.1_2048"	"A1L2G3"
"LOC134724308"	9.57e-143	"sp|Q52L14|BAP1_XENLA"	"lcl|NC_086373.1_cds_XP_063443521.1_2049"	"Q52L14"
"LOC134724400"	0	"sp|Q15008|PSMD6_HUMAN"	"lcl|NC_086373.1_cds_XP_063443528.1_2050"	"Q15008"
"LOC134724334"	3.53e-168	"sp|Q9UKG1|DP13A_HUMAN"	"lcl|NC_086373.1_cds_XP_063443522.1_2051"	"Q9UKG1"
"LOC134724334"	2.6e-112	"sp|Q8K3H0|DP13A_MOUSE"	"lcl|NC_086373.1_cds_XP_063443526.1_2053"	"Q8K3H0"
"LOC134715948"	7.69e-27	"sp|Q21281|MUP4_CAEEL"	"lcl|NC_086373.1_cds_XP_063434642.1_2058"	"Q21281"
"LOC134724417"	1.54e-48	"sp|Q8BVV7|CEP95_MOUSE"	"lcl|NC_086373.1_cds_XP_063443529.1_2060"	"Q8BVV7"
"LOC134724433"	1.39e-130	"sp|Q21086|GNL3_CAEEL"	"lcl|NC_086373.1_cds_XP_063443530.1_2062"	"Q21086"
"LOC134707815"	1.26e-71	"sp|Q8VCT4|EST1D_MOUSE"	"lcl|NC_086373.1_cds_XP_063423942.1_2063"	"Q8VCT4"
"LOC134716068"	3.31e-79	"sp|P16303|EST1D_RAT"	"lcl|NC_086373.1_cds_XP_063434911.1_2065"	"P16303"
"LOC134716137"	1.89e-78	"sp|P23953|EST1C_MOUSE"	"lcl|NC_086373.1_cds_XP_063435033.1_2066"	"P23953"
"LOC134724480"	8.23e-89	"sp|Q99JY4|TRABD_MOUSE"	"lcl|NC_086373.1_cds_XP_063443597.1_2077"	"Q99JY4"
"LOC134724502"	1.23e-116	"sp|O54781|SRPK2_MOUSE"	"lcl|NC_086373.1_cds_XP_063443646.1_2086"	"O54781"
"LOC134724526"	2.88e-140	"sp|Q61704|ITIH3_MOUSE"	"lcl|NC_086373.1_cds_XP_063443678.1_2091"	"Q61704"
"LOC134707843"	1.07e-45	"sp|P70174|HRH1_MOUSE"	"lcl|NC_086373.1_cds_XP_063424004.1_2096"	"P70174"
"LOC134724564"	0	"sp|Q7Z6Z7|HUWE1_HUMAN"	"lcl|NC_086373.1_cds_XP_063443787.1_2110"	"Q7Z6Z7"
"LOC134718255"	1.33e-55	"sp|O00602|FCN1_HUMAN"	"lcl|NC_086373.1_cds_XP_063436851.1_2119"	"O00602"
"LOC134724615"	9.22e-35	"sp|Q99JY3|GIMA4_MOUSE"	"lcl|NC_086373.1_cds_XP_063443818.1_2120"	"Q99JY3"
"LOC134724621"	1.47e-40	"sp|Q9MYM7|B3GT1_PONPY"	"lcl|NC_086373.1_cds_XP_063443831.1_2121"	"Q9MYM7"
"LOC134724659"	0	"sp|P97879|GRIP1_RAT"	"lcl|NC_086373.1_cds_XP_063443888.1_2128"	"P97879"
"LOC134718809"	0	"sp|A0A0R4IBK5|R213A_DANRE"	"lcl|NC_086373.1_cds_XP_063437652.1_2147"	"A0A0R4IBK5"
"LOC134708038"	7.52e-130	"sp|A0JNB1|ZN227_BOVIN"	"lcl|NC_086373.1_cds_XP_063424361.1_2167"	"A0JNB1"
"LOC134724678"	1.89e-130	"sp|A0JNB1|ZN227_BOVIN"	"lcl|NC_086373.1_cds_XP_063443923.1_2168"	"A0JNB1"
"LOC134724689"	1.16e-107	"sp|Q14590|ZN235_HUMAN"	"lcl|NC_086373.1_cds_XP_063443932.1_2169"	"Q14590"
"LOC134724733"	1.04e-51	"sp|Q8K595|MCLN2_MOUSE"	"lcl|NC_086373.1_cds_XP_063444006.1_2180"	"Q8K595"
"LOC134708079"	2.38e-28	"sp|Q9C7Z1|G2OX4_ARATH"	"lcl|NC_086373.1_cds_XP_063424451.1_2183"	"Q9C7Z1"
"LOC134724918"	2.49e-44	"sp|Q22744|RASF1_CAEEL"	"lcl|NC_086373.1_cds_XP_063444350.1_2204"	"Q22744"
"LOC134724853"	6.01e-91	"sp|Q3T0E5|APMAP_BOVIN"	"lcl|NC_086373.1_cds_XP_063444225.1_2205"	"Q3T0E5"
"LOC134724859"	3.56e-168	"sp|Q5FWU8|ZMY10_XENLA"	"lcl|NC_086373.1_cds_XP_063444238.1_2206"	"Q5FWU8"
"LOC134719643"	5.54e-26	"sp|P34456|YMD2_CAEEL"	"lcl|NC_086373.1_cds_XP_063438723.1_2213"	"P34456"
"LOC134720163"	1.84e-100	"sp|P26221|GUN4_THEFU"	"lcl|NC_086373.1_cds_XP_063438890.1_2233"	"P26221"
"LOC134708176"	1.05e-123	"sp|Q964E0|ACTC_BIOTE"	"lcl|NC_086373.1_cds_XP_063424582.1_2235"	"Q964E0"
"LOC134724941"	2.61e-166	"sp|P45885|ACT2_BACDO"	"lcl|NC_086373.1_cds_XP_063444403.1_2236"	"P45885"
"LOC134708192"	4.84e-66	"sp|Q5XIT1|MARE3_RAT"	"lcl|NC_086373.1_cds_XP_063424602.1_2237"	"Q5XIT1"
"LOC134724976"	1.25e-47	"sp|P07477|TRY1_HUMAN"	"lcl|NC_086373.1_cds_XP_063444484.1_2248"	"P07477"
"LOC134724986"	1.25e-136	"sp|A0FKN5|S26A5_CHICK"	"lcl|NC_086373.1_cds_XP_063444496.1_2249"	"A0FKN5"
"LOC134725023"	0	"sp|Q9NVM9|INT13_HUMAN"	"lcl|NC_086373.1_cds_XP_063444579.1_2259"	"Q9NVM9"
"LOC134725033"	0	"sp|Q25011|FANA_CORAP"	"lcl|NC_086373.1_cds_XP_063444590.1_2260"	"Q25011"
"LOC134725049"	5.64e-25	"sp|Q9D581|EFC10_MOUSE"	"lcl|NC_086373.1_cds_XP_063444619.1_2263"	"Q9D581"
"LOC134725059"	8.56e-21	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063444632.1_2264"	"Q9VGZ5"
"LOC134725069"	2.93e-22	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063444644.1_2265"	"Q9VGZ5"
"LOC134708203"	2.67e-22	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063424630.1_2266"	"Q9VGZ5"
"LOC134721019"	8.88e-22	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063439791.1_2267"	"Q9VGZ5"
"LOC134721085"	2.93e-22	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063439920.1_2268"	"Q9VGZ5"
"LOC134721145"	9.9e-22	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063440049.1_2269"	"Q9VGZ5"
"LOC134721234"	2.81e-23	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063440169.1_2270"	"Q9VGZ5"
"LOC134708210"	2.93e-21	"sp|Q9VGZ5|CWO_DROME"	"lcl|NC_086373.1_cds_XP_063424642.1_2271"	"Q9VGZ5"
"LOC134725072"	0	"sp|Q9UBN7|HDAC6_HUMAN"	"lcl|NC_086373.1_cds_XP_063444674.1_2272"	"Q9UBN7"
"LOC134725089"	1.26e-107	"sp|Q9U943|APLP_LOCMI"	"lcl|NC_086373.1_cds_XP_063444688.1_2275"	"Q9U943"
"LOC134725096"	0	"sp|Q5R7Z9|HMCS1_PONAB"	"lcl|NC_086373.1_cds_XP_063444700.1_2276"	"Q5R7Z9"
"LOC134725116"	1.47e-45	"sp|Q3UHX0|NOL8_MOUSE"	"lcl|NC_086373.1_cds_XP_063444747.1_2279"	"Q3UHX0"
"LOC134708217"	7.17e-23	"sp|Q1T7B7|CENPP_CHICK"	"lcl|NC_086373.1_cds_XP_063424674.1_2281"	"Q1T7B7"
"LOC134725131"	0	"sp|Q9UPQ7|PZRN3_HUMAN"	"lcl|NC_086373.1_cds_XP_063444758.1_2283"	"Q9UPQ7"
"LOC134725177"	4.22e-43	"sp|P20360|ACT_EUPCR"	"lcl|NC_086373.1_cds_XP_063444890.1_2294"	"P20360"
"LOC134725196"	1.93e-38	"sp|Q5M7D6|P4R2A_XENLA"	"lcl|NC_086373.1_cds_XP_063444903.1_2299"	"Q5M7D6"
"LOC134725246"	1.25e-41	"sp|P41971|ELK3_MOUSE"	"lcl|NC_086373.1_cds_XP_063444981.1_2300"	"P41971"
"LOC134725203"	8.19e-93	"sp|Q5R7J6|UBE2N_PONAB"	"lcl|NC_086373.1_cds_XP_063444916.1_2304"	"Q5R7J6"
"LOC134725221"	1.3e-116	"sp|P51644|ARF4_XENLA"	"lcl|NC_086373.1_cds_XP_063444940.1_2306"	"P51644"
"LOC134725236"	5.35e-108	"sp|Q3ZBD9|MARE1_BOVIN"	"lcl|NC_086373.1_cds_XP_063444960.1_2307"	"Q3ZBD9"
"LOC134725295"	0	"sp|P02469|LAMB1_MOUSE"	"lcl|NC_086373.1_cds_XP_063445068.1_2314"	"P02469"
"LOC134725318"	1.46e-95	"sp|P58269|DPF3_MOUSE"	"lcl|NC_086373.1_cds_XP_063445115.1_2318"	"P58269"
"LOC134725318"	1.22e-94	"sp|Q9W636|REQUB_XENLA"	"lcl|NC_086373.1_cds_XP_063445108.1_2319"	"Q9W636"
"LOC134725332"	0	"sp|B2RX14|TUT4_MOUSE"	"lcl|NC_086373.1_cds_XP_063445128.1_2320"	"B2RX14"
"LOC134725345"	4.74e-144	"sp|Q7TT28|REXO1_MOUSE"	"lcl|NC_086373.1_cds_XP_063445149.1_2322"	"Q7TT28"
"LOC134725360"	0	"sp|Q96QE2|MYCT_HUMAN"	"lcl|NC_086373.1_cds_XP_063445185.1_2324"	"Q96QE2"
"LOC134725352"	1.01e-175	"sp|Q96QE2|MYCT_HUMAN"	"lcl|NC_086373.1_cds_XP_063445163.1_2325"	"Q96QE2"
"LOC134725367"	4.89e-159	"sp|Q96QE2|MYCT_HUMAN"	"lcl|NC_086373.1_cds_XP_063445200.1_2327"	"Q96QE2"
"LOC134685213"	2.64e-43	"sp|O02751|CFDP2_BOVIN"	"lcl|NC_086373.1_cds_XP_063400799.1_2332"	"O02751"
"LOC134725391"	1.11e-59	"sp|Q8IXR9|CL056_HUMAN"	"lcl|NC_086373.1_cds_XP_063445254.1_2333"	"Q8IXR9"
"LOC134725391"	6.9e-61	"sp|Q8CCC3|CL056_MOUSE"	"lcl|NC_086373.1_cds_XP_063445263.1_2334"	"Q8CCC3"
"LOC134725410"	6.62e-41	"sp|A7SMR0|MEIG1_NEMVE"	"lcl|NC_086373.1_cds_XP_063445287.1_2336"	"A7SMR0"
"LOC134725440"	4.5e-117	"sp|Q5U3Y0|KLD10_RAT"	"lcl|NC_086373.1_cds_XP_063445328.1_2337"	"Q5U3Y0"
"LOC134725474"	5.9e-23	"sp|Q0D261|UBL4A_XENLA"	"lcl|NC_086373.1_cds_XP_063445388.1_2339"	"Q0D261"
"LOC134725448"	1.5e-77	"sp|P25207|NFYB_CHICK"	"lcl|NC_086373.1_cds_XP_063445341.1_2340"	"P25207"
"LOC134725519"	1.62e-99	"sp|Q4V9P0|SAMC_DANRE"	"lcl|NC_086373.1_cds_XP_063445468.1_2349"	"Q4V9P0"
"LOC134725567"	0	"sp|P11881|ITPR1_MOUSE"	"lcl|NC_086373.1_cds_XP_063445570.1_2359"	"P11881"
"LOC134725567"	0	"sp|Q14643|ITPR1_HUMAN"	"lcl|NC_086373.1_cds_XP_063445578.1_2362"	"Q14643"
"LOC134725611"	3.18e-26	"sp|Q8BTN6|LENG9_MOUSE"	"lcl|NC_086373.1_cds_XP_063445634.1_2366"	"Q8BTN6"
"LOC134725617"	7.21e-135	"sp|Q7JQD3|GELS1_LUMTE"	"lcl|NC_086373.1_cds_XP_063445646.1_2367"	"Q7JQD3"
"LOC134725635"	1.21e-126	"sp|Q8MPM1|GELS2_LUMTE"	"lcl|NC_086373.1_cds_XP_063445687.1_2371"	"Q8MPM1"
"LOC134725654"	7.23e-134	"sp|Q8MPM1|GELS2_LUMTE"	"lcl|NC_086373.1_cds_XP_063445728.1_2373"	"Q8MPM1"
"LOC134708252"	2.11e-58	"sp|Q5R4U0|CAH10_PONAB"	"lcl|NC_086373.1_cds_XP_063424714.1_2378"	"Q5R4U0"
"LOC134725683"	1.83e-88	"sp|Q7SXF6|CREL2_DANRE"	"lcl|NC_086373.1_cds_XP_063445783.1_2379"	"Q7SXF6"
"LOC134725697"	1.61e-23	"sp|Q63249|FOXD4_RAT"	"lcl|NC_086373.1_cds_XP_063445796.1_2382"	"Q63249"
"LOC134725706"	4.06e-91	"sp|Q8IVH2|FOXP4_HUMAN"	"lcl|NC_086373.1_cds_XP_063445807.1_2383"	"Q8IVH2"
"LOC134725725"	2.12e-87	"sp|Q5ZJ87|SAMTR_CHICK"	"lcl|NC_086373.1_cds_XP_063445835.1_2386"	"Q5ZJ87"
"LOC134725741"	0	"sp|Q5S006|LRRK2_MOUSE"	"lcl|NC_086373.1_cds_XP_063445866.1_2389"	"Q5S006"
"LOC134725748"	1.04e-52	"sp|P27365|3BHS1_MACMU"	"lcl|NC_086373.1_cds_XP_063445880.1_2390"	"P27365"
"LOC134725750"	1.49e-22	"sp|Q80VI1|TRI56_MOUSE"	"lcl|NC_086373.1_cds_XP_063445916.1_2394"	"Q80VI1"
"LOC134725753"	7.03e-32	"sp|Q9BDJ3|THIO_CALJA"	"lcl|NC_086373.1_cds_XP_063445942.1_2396"	"Q9BDJ3"
"LOC134725758"	9.8e-112	"sp|P0CB50|PRDX1_CHICK"	"lcl|NC_086373.1_cds_XP_063445955.1_2397"	"P0CB50"
"LOC134722013"	4.46e-105	"sp|P70665|SIAE_MOUSE"	"lcl|NC_086373.1_cds_XP_063441531.1_2402"	"P70665"
"LOC134708266"	2.84e-43	"sp|Q9Y2F9|BTBD3_HUMAN"	"lcl|NC_086373.1_cds_XP_063424752.1_2405"	"Q9Y2F9"
"LOC134725805"	1.77e-96	"sp|Q8K0U4|HS12A_MOUSE"	"lcl|NC_086373.1_cds_XP_063446129.1_2406"	"Q8K0U4"
"LOC134708280"	1.44e-59	"sp|Q502D1|GLOD5_DANRE"	"lcl|NC_086373.1_cds_XP_063424769.1_2416"	"Q502D1"
"LOC134725919"	6.24e-52	"sp|Q70JS2|KELC_ANOST"	"lcl|NC_086373.1_cds_XP_063446280.1_2420"	"Q70JS2"
"LOC134725873"	6.07e-125	"sp|B2GUB3|TTLL3_XENTR"	"lcl|NC_086373.1_cds_XP_063446241.1_2421"	"B2GUB3"
"LOC134725934"	3.32e-92	"sp|P23049|SEA_AVIET"	"lcl|NC_086373.1_cds_XP_063446305.1_2432"	"P23049"
"LOC134722304"	2.68e-111	"sp|P16056|MET_MOUSE"	"lcl|NC_086373.1_cds_XP_063442012.1_2442"	"P16056"
"LOC134725983"	2.28e-143	"sp|Q5RJR2|TWF1_RAT"	"lcl|NC_086373.1_cds_XP_063446402.1_2443"	"Q5RJR2"
"LOC134725975"	1.65e-179	"sp|P0C218|DDX20_DANRE"	"lcl|NC_086373.1_cds_XP_063446390.1_2444"	"P0C218"
"LOC134726001"	1.89e-126	"sp|Q5E9U9|NPRL2_BOVIN"	"lcl|NC_086373.1_cds_XP_063446425.1_2446"	"Q5E9U9"
"LOC134726108"	2.03e-37	"sp|Q91VR8|BRK1_MOUSE"	"lcl|NC_086373.1_cds_XP_063446579.1_2464"	"Q91VR8"
"LOC134726119"	0	"sp|Q6ZMT4|KDM7A_HUMAN"	"lcl|NC_086373.1_cds_XP_063446594.1_2469"	"Q6ZMT4"
"LOC134726133"	9.14e-170	"sp|Q8BR07|BICD1_MOUSE"	"lcl|NC_086373.1_cds_XP_063446603.1_2471"	"Q8BR07"
"LOC134722598"	3.15e-23	"sp|Q8IWZ3|ANKH1_HUMAN"	"lcl|NC_086373.1_cds_XP_063442322.1_2479"	"Q8IWZ3"
