gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,LOC_ID,transcript,database,uniprot_accession,geneID,species,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,reviewed,entryname,protein_name,gene_name,organism,prot_length,GO_ID,GO_BP,GO_MF,GO_CC,Genename_orderedlocus,Induction,Pathwaycommons,Reactome,Unipathway,Interacts_with
gene-LOC134696347|LOC134696347,1101.90133179798,-1.06852425694881,0.10819314310742,2.8355732659651e-24,1.85531558792097e-20,LOC134696347,lcl|NC_086386.1_cds_XP_063414145.1_49373,sp,P11833,TBB,PARLI,98.837,430,5,0,1,1290,1,430,0,853,reviewed,TBB_PARLI,Tubulin beta chain (Beta-tubulin),,Paracentrotus lividus (Common sea urchin),447,GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0046872,microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200],cytoplasm [GO:0005737]; microtubule [GO:0005874],,,,,,
gene-LOC134718888|LOC134718888,113.628695781922,0.377141266867051,0.126981231189489,1.98947230594016e-4,0.013996900320179,LOC134718888,lcl|NC_086377.1_cds_XP_063437799.1_22041,sp,Q9Y4I1,MYO5A,HUMAN,51.009,1933,844,26,1,5727,1,1854,0,1803,reviewed,MYO5A_HUMAN,"Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain 12) (Myosin-12) (Myoxin)",MYO5A MYH12,Homo sapiens (Human),1855,GO:0000146; GO:0001726; GO:0003723; GO:0005516; GO:0005524; GO:0005737; GO:0005829; GO:0006892; GO:0007015; GO:0015031; GO:0015629; GO:0016020; GO:0016192; GO:0016459; GO:0030048; GO:0030050; GO:0030426; GO:0031267; GO:0032402; GO:0032433; GO:0032593; GO:0032869; GO:0042470; GO:0043005; GO:0051015; GO:0070062; GO:0072659,actin filament organization [GO:0007015]; actin filament-based movement [GO:0030048]; cellular response to insulin stimulus [GO:0032869]; melanosome transport [GO:0032402]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; vesicle transport along actin filament [GO:0030050]; vesicle-mediated transport [GO:0016192],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267],actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filopodium tip [GO:0032433]; growth cone [GO:0030426]; insulin-responsive compartment [GO:0032593]; melanosome [GO:0042470]; membrane [GO:0016020]; myosin complex [GO:0016459]; neuron projection [GO:0043005]; ruffle [GO:0001726],,,Q9Y4I1;,R-HSA-1445148;R-HSA-2029482;R-HSA-264876;R-HSA-9664422;R-HSA-9824585;,,
gene-LOC134718888|LOC134718888,113.628695781922,0.377141266867051,0.126981231189489,1.98947230594016e-4,0.013996900320179,LOC134718888,lcl|NC_086377.1_cds_XP_063437802.1_22042,sp,Q02440,MYO5A,CHICK,52.068,1886,805,23,1,5535,1,1828,0,1819,reviewed,MYO5A_CHICK,"Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain p190) (Myosin-V)",MYO5A,Gallus gallus (Chicken),1829,GO:0000139; GO:0000146; GO:0005516; GO:0005524; GO:0005737; GO:0007015; GO:0015629; GO:0016020; GO:0016192; GO:0016459; GO:0030050; GO:0031941; GO:0031982; GO:0032593; GO:0032869; GO:0051015; GO:0060001; GO:0072659,actin filament organization [GO:0007015]; cellular response to insulin stimulus [GO:0032869]; protein localization to plasma membrane [GO:0072659]; vesicle transport along actin filament [GO:0030050]; vesicle-mediated transport [GO:0016192],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; minus-end directed microfilament motor activity [GO:0060001],actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; Golgi membrane [GO:0000139]; insulin-responsive compartment [GO:0032593]; membrane [GO:0016020]; myosin complex [GO:0016459]; vesicle [GO:0031982],,,,,,P14649
gene-LOC134718888|LOC134718888,113.628695781922,0.377141266867051,0.126981231189489,1.98947230594016e-4,0.013996900320179,LOC134718888,lcl|NC_086377.1_cds_XP_063437798.1_22045,sp,Q9QYF3,MYO5A,RAT,51.082,1940,806,23,1,5730,1,1827,0,1794,reviewed,MYO5A_RAT,"Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle)",Myo5a,Rattus norvegicus (Rat),1828,GO:0000146; GO:0000149; GO:0001726; GO:0001750; GO:0003774; GO:0003779; GO:0005509; GO:0005516; GO:0005524; GO:0005737; GO:0005790; GO:0005794; GO:0005829; GO:0005882; GO:0006582; GO:0006887; GO:0006892; GO:0007015; GO:0007268; GO:0007601; GO:0008021; GO:0015629; GO:0016020; GO:0016192; GO:0016236; GO:0016459; GO:0016461; GO:0017075; GO:0017157; GO:0019901; GO:0030048; GO:0030050; GO:0030073; GO:0030141; GO:0030318; GO:0030424; GO:0030425; GO:0031267; GO:0031982; GO:0031987; GO:0032252; GO:0032400; GO:0032402; GO:0032433; GO:0032593; GO:0032869; GO:0033602; GO:0042417; GO:0042438; GO:0042470; GO:0042476; GO:0042552; GO:0042641; GO:0042642; GO:0042759; GO:0042802; GO:0043008; GO:0043025; GO:0043473; GO:0044877; GO:0048066; GO:0048306; GO:0048820; GO:0050808; GO:0050885; GO:0051015; GO:0051643; GO:0051967; GO:0055037; GO:0065003; GO:0072659; GO:0097718; GO:0098685; GO:0098794; GO:0098871; GO:0098978; GO:0099089; GO:0099566; GO:0099640; GO:0150103; GO:1900078; GO:1903078; GO:1904754; GO:1990904,"actin filament organization [GO:0007015]; actin filament-based movement [GO:0030048]; axo-dendritic protein transport [GO:0099640]; cellular response to insulin stimulus [GO:0032869]; chemical synaptic transmission [GO:0007268]; developmental pigmentation [GO:0048066]; dopamine metabolic process [GO:0042417]; endoplasmic reticulum localization [GO:0051643]; establishment of endoplasmic reticulum localization to postsynapse [GO:0099089]; exocytosis [GO:0006887]; hair follicle maturation [GO:0048820]; insulin secretion [GO:0030073]; locomotion involved in locomotory behavior [GO:0031987]; long-chain fatty acid biosynthetic process [GO:0042759]; macroautophagy [GO:0016236]; melanin biosynthetic process [GO:0042438]; melanin metabolic process [GO:0006582]; melanocyte differentiation [GO:0030318]; melanosome localization [GO:0032400]; melanosome transport [GO:0032402]; myelination [GO:0042552]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; neuromuscular process controlling balance [GO:0050885]; odontogenesis [GO:0042476]; pigmentation [GO:0043473]; positive regulation of cellular response to insulin stimulus [GO:1900078]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization to plasma membrane [GO:0072659]; protein-containing complex assembly [GO:0065003]; reactive gliosis [GO:0150103]; regulation of exocytosis [GO:0017157]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; secretory granule localization [GO:0032252]; synapse organization [GO:0050808]; vesicle transport along actin filament [GO:0030050]; vesicle-mediated transport [GO:0016192]; visual perception [GO:0007601]",actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; calmodulin binding [GO:0005516]; cytoskeletal motor activity [GO:0003774]; disordered domain specific binding [GO:0097718]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; small GTPase binding [GO:0031267]; SNARE binding [GO:0000149]; syntaxin-1 binding [GO:0017075],"actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; actomyosin, myosin complex part [GO:0042642]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; filopodium tip [GO:0032433]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; insulin-responsive compartment [GO:0032593]; intermediate filament [GO:0005882]; melanosome [GO:0042470]; membrane [GO:0016020]; myosin complex [GO:0016459]; neuronal cell body [GO:0043025]; photoreceptor outer segment [GO:0001750]; postsynapse [GO:0098794]; postsynaptic actin cytoskeleton [GO:0098871]; recycling endosome [GO:0055037]; ribonucleoprotein complex [GO:1990904]; ruffle [GO:0001726]; Schaffer collateral - CA1 synapse [GO:0098685]; secretory granule [GO:0030141]; smooth endoplasmic reticulum [GO:0005790]; synaptic vesicle [GO:0008021]; unconventional myosin complex [GO:0016461]; vesicle [GO:0031982]",,,,R-RNO-2029482;,,
gene-LOC134712581|LOC134712581,142.474005933674,-0.243483276073653,0.0797080822056269,2.88000497463383e-4,0.0179465452847896,LOC134712581,lcl|NC_086375.1_cds_XP_063430359.1_15427,sp,Q5VUA4,ZN318,HUMAN,42,150,82,3,3205,3654,1059,1203,3.01e-33,146,reviewed,ZN318_HUMAN,Zinc finger protein 318 (Endocrine regulatory protein),ZNF318 HRIHFB2436,Homo sapiens (Human),2279,GO:0003676; GO:0005654; GO:0005829; GO:0008270; GO:0042803; GO:0045892; GO:0045893; GO:0051321,meiotic cell cycle [GO:0051321]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893],nucleic acid binding [GO:0003676]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270],cytosol [GO:0005829]; nucleoplasm [GO:0005654],,,Q5VUA4;,,,
gene-LOC134725623|LOC134725623,163.414990645205,-0.385080244635621,0.115934528877385,6.1148006809838e-5,0.00563509026136296,LOC134725623,lcl|NC_086379.1_cds_XP_063445651.1_29896,sp,Q16974,KPC1,APLCA,81.944,648,115,2,28,1968,3,649,0,1104,reviewed,KPC1_APLCA,Calcium-dependent protein kinase C (EC 2.7.11.13) (APL I),PRKC1,Aplysia californica (California sea hare),649,GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0008270; GO:0106310,,ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; zinc ion binding [GO:0008270],cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
gene-LOC134728156|LOC134728156,47.3219201718072,0.570015796545404,0.169497769828043,3.90881884063721e-5,0.00426823267846702,LOC134728156,lcl|NC_086380.1_cds_XP_063448702.1_31091,sp,O08715,AKAP1,MOUSE,42.183,339,178,6,1090,2103,530,851,5.7e-75,262,reviewed,AKAP1_MOUSE,"A-kinase anchor protein 1, mitochondrial (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein) (S-AKAP)",Akap1 Akap,Mus musculus (Mouse),857,GO:0003723; GO:0005739; GO:0005741; GO:0005783; GO:0005811; GO:0006915; GO:0008017; GO:0010614; GO:0016020; GO:0019901; GO:0019903; GO:0030061; GO:0030346; GO:0031594; GO:0034237; GO:0035308; GO:0042308; GO:0045211; GO:0048487; GO:0060090; GO:0099091; GO:0140374,antiviral innate immune response [GO:0140374]; apoptotic process [GO:0006915]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of protein dephosphorylation [GO:0035308]; negative regulation of protein import into nucleus [GO:0042308],beta-tubulin binding [GO:0048487]; microtubule binding [GO:0008017]; molecular adaptor activity [GO:0060090]; protein kinase A regulatory subunit binding [GO:0034237]; protein kinase binding [GO:0019901]; protein phosphatase 2B binding [GO:0030346]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723],"endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial crista [GO:0030061]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; postsynaptic membrane [GO:0045211]; postsynaptic specialization, intracellular component [GO:0099091]",,,,R-MMU-983231;,,Q06986; Q16825
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,23.439,3652,2310,160,4240,14799,1218,4515,1.83e-109,400,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,25.192,2870,1697,133,6685,14820,662,3239,3.23e-104,382,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,24.408,2745,1653,129,7006,14808,486,2952,1.21e-95,354,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,25.175,2423,1435,111,7924,14823,491,2658,4.09e-94,349,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,23.819,2561,1567,116,7516,14811,553,2858,4.73e-90,335,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,23.558,3243,2043,143,5479,14832,1415,4346,2.03e-89,333,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,23.391,2548,1581,112,3937,11307,2249,4516,2.07e-61,241,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,24.101,1892,1179,90,7603,13128,2832,4516,3.07e-60,237,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428589.1_13433,sp,D3YXG0,HMCN1,MOUSE,26.488,823,516,32,12469,14832,491,1259,7.4e-48,196,reviewed,HMCN1_MOUSE,Hemicentin-1 (Fibulin-6) (FIBL-6),Hmcn1,Mus musculus (Mouse),5634,GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],calcium ion binding [GO:0005509],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927],,"INDUCTION: Induced by high glucose and transforming growth factor beta (at protein level) (PubMed:29488390). Following wounding, up-regulated in the dermis adjacent to the epidermal tongues of closing wounds (at protein level) (PubMed:34504132). Up-regulated following myocardial infarction. {ECO:0000269|PubMed:24951538, ECO:0000269|PubMed:29488390, ECO:0000269|PubMed:34504132}.",,,,
gene-LOC134711713|LOC134711713,144.985451433718,-0.630050364419017,0.233332800327698,0.00027796577085990003,0.0176575731916148,LOC134711713,lcl|NC_086375.1_cds_XP_063428595.1_13439,sp,Q96RW7,HMCN1,HUMAN,24.772,2523,1570,113,6637,13917,466,2756,7.24e-106,387,reviewed,HMCN1_HUMAN,Hemicentin-1 (Fibulin-6) (FIBL-6),HMCN1 FIBL6,Homo sapiens (Human),5635,GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711,actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601],calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201],adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; muscle tendon junction [GO:0005927],,INDUCTION: Induced by high glucose levels and transforming growth factor beta (at protein level). {ECO:0000269|PubMed:29488390}.,Q96RW7;,,,P0C7Q2
